"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-16","   50","   10",,," 0930","0.00","   98","0.0","3.0",,"36","25","  630",,,,"  315","  315","0.5",,,,"30.0","21.9",,,,,,"    1",,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-17","   70","   80",,," 1212","0.00","   80","0.0","2.0",,"38","24","  516",,,,"  135","  135","0.4",,,,"16.1","13.0",,,,,,,,"    1",,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-18","   80","   90",,," 2300","0.00","   75","0.0","2.0",,"40","31","  480",,,,"  225","  225","0.2",,,,"31.1","23.9","    1",,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-19","   60","   70",,," 1100","0.00","   49","0.0","1.0",,"47","26","  318",,,,"  270","  315",,,,,"31.1","23.0","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-20","   10","   30",,," 2230","0.00","   98","0.0","0.0",,"36","18","  636",,,,"  270","  270",,,,,"35.6","23.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-21","   20","   30",,," 1136","0.00","   98","0.0","0.0",,"36","22","  642",,,,"  315","  270",,,,,"30.0","21.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-22","   60","   80",,," 1130","0.00","   80","0.0","0.0",,"51","26","  522",,,,"  225","  225",,,,,"39.1","30.0",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-23","    0","    0",,," 0824","0.00","   97","0.0","0.0",,"44","20","  642",,,,"  315","  315",,,,,"55.3","38.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-24","   70","   70",,," 1230","0.00","   61","0.0","0.0",,"36","20","  402",,,,"   45","   45",,,,,"23.0","17.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-25","   90","   90",,," 2336","0.00","   32","0.0","0.0",,"54","19","  216",,,,"  315","  315",,,,,"39.1","23.0",,,,,,,,"    1",,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-26","   20","    0",,," 0118","0.00","   97","0.0","0.0",,"25","7","  642",,,,"  315","  315",,,,,"42.5","28.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-27","   70","   80",,," 0936","0.00","   39","0.0","0.0",,"35","18","  258",,,,"  180","  135",,,,,"18.3","13.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02-28","  100","  100",,," 1330","0.41","    0","5.2","2.0",,"35","30","    0",,,,"   90","  135","0.4",,,,"20.8","15.0","    1",,,,,,,"    1",,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-01","   40","   20",,," 0042","0.00","   88","0.0","5.0",,"37","23","  594",,,,"  315","  315","0.4",,,,"19.5","16.1","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-02","   90","  100",,," 1554","0.21","    0","2.2","3.0",,"36","31","    0",,,,"   45","   45","0.3",,,,"20.8","15.0","    1",,,"    1",,,,"    1",,,,,,,"    1",,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-03","   10","   20",,," 0548","0.00","   99","0.0","3.0",,"39","26","  672",,,,"  360","  360","0.5",,,,"18.3","14.1",,,,,,,,"    1",,,,,,,,,,,,
